rental_id,equipment_id,customer_id,site_id,rental_start_date,rental_end_date_planned,rental_end_date_actual,rental_rate_per_day,total_rental_cost,security_deposit,rental_status,delivery_address,pickup_address,rental_duration_planned,rental_duration_actual,overdue_days,late_fees_charged,damage_charges,created_at,updated_at
RENT000025,CAT00085,CUST00004,SITE00012,2024-06-03,2024-06-10,2024-06-10,398.1,2786.7,1194.3,Returned,"55294 Jones Neck, Rodriguezborough, TX 92796","55294 Jones Neck, Rodriguezborough, TX 92796",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000026,CAT00015,CUST00031,SITE00018,2025-06-27,2025-07-11,2025-07-15,968.2,17427.6,2904.6,Returned,"9382 Johnson Run, Mcdonaldport, DE 83136","9382 Johnson Run, Mcdonaldport, DE 83136",14,18,4,1936.4,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000027,CAT00011,CUST00025,SITE00008,2024-04-05,2024-05-05,2024-05-05,791.83,23754.9,2375.49,Returned,"829 Johnson Courts, West Zachary, MA 60854","829 Johnson Courts, West Zachary, MA 60854",30,30,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000028,CAT00026,CUST00024,SITE00014,2024-08-12,2024-08-26,2024-08-26,939.19,13148.66,2817.57,Returned,"PSC 7438, Box 3057, APO AP 14687","PSC 7438, Box 3057, APO AP 14687",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000029,CAT00041,CUST00027,SITE00003,2025-02-09,2025-02-16,2025-02-16,982.47,6877.29,2947.41,Returned,"9606 Neal Street, East Jonathanburgh, AZ 37233","9606 Neal Street, East Jonathanburgh, AZ 37233",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000030,CAT00184,CUST00019,SITE00029,2024-07-02,2024-08-31,2024-08-31,442.46,26547.6,1327.38,Returned,"4740 Glass Courts, West Wendybury, VA 96836","4740 Glass Courts, West Wendybury, VA 96836",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000031,CAT00039,CUST00037,SITE00003,2024-10-02,2024-10-16,2024-10-16,1107.92,15510.88,3323.76,Returned,"9606 Neal Street, East Jonathanburgh, AZ 37233","9606 Neal Street, East Jonathanburgh, AZ 37233",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000032,CAT00191,CUST00016,SITE00007,2025-06-02,2025-06-09,2025-06-09,1158.76,8111.32,3476.28,Returned,"42668 Castro Views, Timothyhaven, MN 14375","42668 Castro Views, Timothyhaven, MN 14375",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000033,CAT00005,CUST00009,SITE00014,2024-07-15,2024-08-14,2024-08-14,748.28,22448.4,2244.84,Returned,"PSC 7438, Box 3057, APO AP 14687","PSC 7438, Box 3057, APO AP 14687",30,30,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000034,CAT00088,CUST00037,SITE00012,2025-08-26,2025-10-25,2025-10-25,1013.54,60812.4,3040.62,Active,"55294 Jones Neck, Rodriguezborough, TX 92796","55294 Jones Neck, Rodriguezborough, TX 92796",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000035,CAT00041,CUST00013,SITE00020,2023-11-16,2023-12-16,2023-12-16,414.7,12441.0,1244.1,Returned,"750 Molly Village Suite 950, Sheaton, KY 39431","750 Molly Village Suite 950, Sheaton, KY 39431",30,30,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000036,CAT00187,CUST00015,SITE00002,2025-05-03,2025-05-17,2025-05-23,1062.95,21259.0,3188.85,Returned,"19457 Jessica Skyway Apt. 617, Meganstad, HI 68465","19457 Jessica Skyway Apt. 617, Meganstad, HI 68465",14,20,6,3188.85,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000037,CAT00015,CUST00033,SITE00028,2023-11-18,2023-12-02,2023-12-02,1153.56,16149.84,3460.68,Returned,"366 Donna Center, North Shawnabury, NC 60265","366 Donna Center, North Shawnabury, NC 60265",14,14,0,0.0,48.08,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000038,CAT00043,CUST00003,SITE00028,2025-06-04,2025-06-11,2025-06-11,671.41,4699.87,2014.23,Returned,"366 Donna Center, North Shawnabury, NC 60265","366 Donna Center, North Shawnabury, NC 60265",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000039,CAT00063,CUST00034,SITE00022,2025-05-07,2025-07-06,2025-07-06,302.53,18151.8,907.59,Returned,"07889 Bell Port Suite 876, Valenciaside, WA 81215","07889 Bell Port Suite 876, Valenciaside, WA 81215",60,60,0,0.0,403.11,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000040,CAT00160,CUST00004,SITE00001,2024-02-22,2024-03-07,2024-03-07,463.98,6495.72,1391.94,Returned,"1477 Mueller Glens Suite 711, Paulmouth, PW 37441","1477 Mueller Glens Suite 711, Paulmouth, PW 37441",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000041,CAT00083,CUST00017,SITE00022,2023-11-18,2024-01-17,2024-01-17,565.83,33949.8,1697.49,Returned,"07889 Bell Port Suite 876, Valenciaside, WA 81215","07889 Bell Port Suite 876, Valenciaside, WA 81215",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000042,CAT00183,CUST00027,SITE00028,2024-08-15,2024-08-29,2024-08-29,322.79,4519.06,968.37,Returned,"366 Donna Center, North Shawnabury, NC 60265","366 Donna Center, North Shawnabury, NC 60265",14,14,0,0.0,248.21,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000043,CAT00043,CUST00043,SITE00026,2024-03-25,2024-04-08,2024-04-09,914.92,13723.8,2744.76,Returned,"86556 Danielle Walks Apt. 601, North Jenniferberg, TN 12304","86556 Danielle Walks Apt. 601, North Jenniferberg, TN 12304",14,15,1,457.46,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000044,CAT00131,CUST00050,SITE00029,2025-02-26,2025-03-12,2025-03-12,879.57,12313.98,2638.71,Returned,"4740 Glass Courts, West Wendybury, VA 96836","4740 Glass Courts, West Wendybury, VA 96836",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000045,CAT00051,CUST00046,SITE00029,2025-05-27,2025-06-10,2025-06-10,511.86,7166.04,1535.58,Returned,"4740 Glass Courts, West Wendybury, VA 96836","4740 Glass Courts, West Wendybury, VA 96836",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000046,CAT00168,CUST00046,SITE00008,2024-09-12,2024-09-26,2024-09-26,910.01,12740.14,2730.03,Returned,"829 Johnson Courts, West Zachary, MA 60854","829 Johnson Courts, West Zachary, MA 60854",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000047,CAT00111,CUST00009,SITE00015,2024-07-08,2024-07-22,2024-07-22,1056.23,14787.22,3168.69,Returned,"691 Brown Passage Suite 685, Kyleville, SC 61426","691 Brown Passage Suite 685, Kyleville, SC 61426",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000048,CAT00151,CUST00019,SITE00004,2024-04-02,2024-05-02,2024-05-02,636.03,19080.9,1908.09,Returned,"Unit 7477 Box 9236, DPO AP 15094","Unit 7477 Box 9236, DPO AP 15094",30,30,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000049,CAT00104,CUST00046,SITE00030,2025-04-21,2025-06-20,2025-06-20,900.02,54001.2,2700.06,Returned,"5398 Jill Expressway, Erinborough, NY 41727","5398 Jill Expressway, Erinborough, NY 41727",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000050,CAT00188,CUST00050,SITE00016,2025-03-04,2025-03-18,2025-03-23,392.6,7459.4,1177.8,Returned,"41278 Dudley Square, Gallaghertown, IL 60473","41278 Dudley Square, Gallaghertown, IL 60473",14,19,5,981.5,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000051,CAT00115,CUST00012,SITE00022,2025-06-01,2025-06-15,2025-06-15,429.77,6016.78,1289.31,Returned,"07889 Bell Port Suite 876, Valenciaside, WA 81215","07889 Bell Port Suite 876, Valenciaside, WA 81215",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000052,CAT00078,CUST00003,SITE00019,2023-09-28,2023-10-05,2023-10-05,1167.31,8171.17,3501.93,Returned,"80290 Bass Knoll, Lake Emilyhaven, MT 05832","80290 Bass Knoll, Lake Emilyhaven, MT 05832",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000053,CAT00192,CUST00039,SITE00016,2024-07-16,2024-09-14,2024-09-17,546.8,34448.4,1640.4,Returned,"41278 Dudley Square, Gallaghertown, IL 60473","41278 Dudley Square, Gallaghertown, IL 60473",60,63,3,820.2,735.77,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000054,CAT00097,CUST00040,SITE00010,2025-02-25,2025-03-04,2025-03-04,920.72,6445.04,2762.16,Returned,"1092 Miller Forge, Port Rebecca, WV 03050","1092 Miller Forge, Port Rebecca, WV 03050",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000055,CAT00173,CUST00030,SITE00016,2025-01-15,2025-03-16,2025-03-16,1080.38,64822.8,3241.14,Returned,"41278 Dudley Square, Gallaghertown, IL 60473","41278 Dudley Square, Gallaghertown, IL 60473",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000056,CAT00043,CUST00017,SITE00008,2024-02-29,2024-03-14,2024-03-14,676.35,9468.9,2029.05,Returned,"829 Johnson Courts, West Zachary, MA 60854","829 Johnson Courts, West Zachary, MA 60854",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000057,CAT00028,CUST00022,SITE00013,2024-11-25,2025-01-24,2025-01-24,590.22,35413.2,1770.66,Returned,"01864 Bryan Court Apt. 298, Lake Danny, ND 74003","01864 Bryan Court Apt. 298, Lake Danny, ND 74003",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000058,CAT00164,CUST00031,SITE00002,2025-05-02,2025-07-01,2025-07-01,448.44,26906.4,1345.32,Returned,"19457 Jessica Skyway Apt. 617, Meganstad, HI 68465","19457 Jessica Skyway Apt. 617, Meganstad, HI 68465",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000059,CAT00178,CUST00017,SITE00004,2024-03-16,2024-03-23,2024-03-23,329.37,2305.59,988.11,Returned,"Unit 7477 Box 9236, DPO AP 15094","Unit 7477 Box 9236, DPO AP 15094",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000060,CAT00114,CUST00050,SITE00028,2025-04-26,2025-05-03,2025-05-10,762.39,10673.46,2287.17,Returned,"366 Donna Center, North Shawnabury, NC 60265","366 Donna Center, North Shawnabury, NC 60265",7,14,7,2668.36,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000061,CAT00167,CUST00040,SITE00015,2024-10-30,2024-11-29,2024-12-06,625.63,23148.31,1876.89,Returned,"691 Brown Passage Suite 685, Kyleville, SC 61426","691 Brown Passage Suite 685, Kyleville, SC 61426",30,37,7,2189.7,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000062,CAT00177,CUST00040,SITE00004,2024-02-18,2024-03-03,2024-03-07,809.57,14572.26,2428.71,Returned,"Unit 7477 Box 9236, DPO AP 15094","Unit 7477 Box 9236, DPO AP 15094",14,18,4,1619.14,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000063,CAT00190,CUST00044,SITE00022,2024-09-17,2024-10-17,2024-10-23,301.36,10848.96,904.08,Returned,"07889 Bell Port Suite 876, Valenciaside, WA 81215","07889 Bell Port Suite 876, Valenciaside, WA 81215",30,36,6,904.08,820.61,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000064,CAT00167,CUST00021,SITE00026,2025-03-16,2025-04-15,2025-04-15,722.87,21686.1,2168.61,Returned,"86556 Danielle Walks Apt. 601, North Jenniferberg, TN 12304","86556 Danielle Walks Apt. 601, North Jenniferberg, TN 12304",30,30,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000065,CAT00010,CUST00038,SITE00002,2024-12-12,2025-02-10,2025-02-17,1130.18,75722.06,3390.54,Returned,"19457 Jessica Skyway Apt. 617, Meganstad, HI 68465","19457 Jessica Skyway Apt. 617, Meganstad, HI 68465",60,67,7,3955.63,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000066,CAT00006,CUST00020,SITE00016,2024-03-03,2024-03-10,2024-03-10,355.56,2488.92,1066.68,Returned,"41278 Dudley Square, Gallaghertown, IL 60473","41278 Dudley Square, Gallaghertown, IL 60473",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000067,CAT00198,CUST00038,SITE00024,2024-04-04,2024-04-11,2024-04-11,1107.25,7750.75,3321.75,Returned,"376 Francis Ways, Lisafurt, VT 48382","376 Francis Ways, Lisafurt, VT 48382",7,7,0,0.0,476.14,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000068,CAT00129,CUST00015,SITE00013,2024-07-08,2024-07-15,2024-07-15,976.42,6834.94,2929.26,Returned,"01864 Bryan Court Apt. 298, Lake Danny, ND 74003","01864 Bryan Court Apt. 298, Lake Danny, ND 74003",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000069,CAT00018,CUST00010,SITE00005,2024-02-25,2024-03-10,2024-03-10,796.38,11149.32,2389.14,Returned,"726 James Road Suite 896, Scottbury, CA 06638","726 James Road Suite 896, Scottbury, CA 06638",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000070,CAT00076,CUST00013,SITE00010,2024-02-08,2024-02-15,2024-02-15,1174.22,8219.54,3522.66,Returned,"1092 Miller Forge, Port Rebecca, WV 03050","1092 Miller Forge, Port Rebecca, WV 03050",7,7,0,0.0,336.49,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000071,CAT00121,CUST00011,SITE00001,2023-09-22,2023-11-21,2023-11-21,821.22,49273.2,2463.66,Returned,"1477 Mueller Glens Suite 711, Paulmouth, PW 37441","1477 Mueller Glens Suite 711, Paulmouth, PW 37441",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000072,CAT00081,CUST00033,SITE00010,2023-10-05,2023-10-12,2023-10-12,733.13,5131.91,2199.39,Returned,"1092 Miller Forge, Port Rebecca, WV 03050","1092 Miller Forge, Port Rebecca, WV 03050",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000073,CAT00080,CUST00020,SITE00020,2025-02-18,2025-02-25,2025-02-25,954.08,6678.56,2862.24,Returned,"750 Molly Village Suite 950, Sheaton, KY 39431","750 Molly Village Suite 950, Sheaton, KY 39431",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000074,CAT00083,CUST00040,SITE00015,2024-01-14,2024-01-21,2024-01-21,1059.39,7415.73,3178.17,Returned,"691 Brown Passage Suite 685, Kyleville, SC 61426","691 Brown Passage Suite 685, Kyleville, SC 61426",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000075,CAT00066,CUST00004,SITE00004,2025-02-18,2025-03-20,2025-03-20,820.83,24624.9,2462.49,Returned,"Unit 7477 Box 9236, DPO AP 15094","Unit 7477 Box 9236, DPO AP 15094",30,30,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000076,CAT00073,CUST00047,SITE00007,2024-12-12,2025-03-12,2025-03-12,509.6,45864.0,1528.8,Returned,"42668 Castro Views, Timothyhaven, MN 14375","42668 Castro Views, Timothyhaven, MN 14375",90,90,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000077,CAT00200,CUST00013,SITE00005,2025-03-04,2025-03-11,2025-03-11,821.02,5747.14,2463.06,Returned,"726 James Road Suite 896, Scottbury, CA 06638","726 James Road Suite 896, Scottbury, CA 06638",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000078,CAT00023,CUST00039,SITE00002,2024-07-01,2024-07-31,2024-08-02,694.84,22234.88,2084.52,Returned,"19457 Jessica Skyway Apt. 617, Meganstad, HI 68465","19457 Jessica Skyway Apt. 617, Meganstad, HI 68465",30,32,2,694.84,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000079,CAT00023,CUST00036,SITE00025,2024-07-09,2024-07-23,2024-07-23,950.31,13304.34,2850.93,Returned,"153 Randy Ridge, Port Brandi, WV 18648","153 Randy Ridge, Port Brandi, WV 18648",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000080,CAT00070,CUST00044,SITE00019,2024-10-20,2024-11-19,2024-11-19,715.65,21469.5,2146.95,Returned,"80290 Bass Knoll, Lake Emilyhaven, MT 05832","80290 Bass Knoll, Lake Emilyhaven, MT 05832",30,30,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000081,CAT00169,CUST00002,SITE00010,2025-06-15,2025-08-14,2025-08-14,932.73,55963.8,2798.19,Returned,"1092 Miller Forge, Port Rebecca, WV 03050","1092 Miller Forge, Port Rebecca, WV 03050",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000082,CAT00065,CUST00045,SITE00026,2025-08-14,2025-08-21,2025-08-21,1152.06,8064.42,3456.18,Returned,"86556 Danielle Walks Apt. 601, North Jenniferberg, TN 12304","86556 Danielle Walks Apt. 601, North Jenniferberg, TN 12304",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000083,CAT00136,CUST00004,SITE00002,2024-08-29,2024-10-28,2024-10-28,533.28,31996.8,1599.84,Returned,"19457 Jessica Skyway Apt. 617, Meganstad, HI 68465","19457 Jessica Skyway Apt. 617, Meganstad, HI 68465",60,60,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000084,CAT00155,CUST00013,SITE00003,2023-08-29,2023-09-28,2023-09-28,501.27,15038.1,1503.81,Returned,"9606 Neal Street, East Jonathanburgh, AZ 37233","9606 Neal Street, East Jonathanburgh, AZ 37233",30,30,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000085,CAT00098,CUST00028,SITE00024,2024-04-28,2024-07-27,2024-07-27,595.56,53600.4,1786.68,Returned,"376 Francis Ways, Lisafurt, VT 48382","376 Francis Ways, Lisafurt, VT 48382",90,90,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000086,CAT00097,CUST00009,SITE00029,2023-09-05,2023-09-19,2023-09-19,933.15,13064.1,2799.45,Returned,"4740 Glass Courts, West Wendybury, VA 96836","4740 Glass Courts, West Wendybury, VA 96836",14,14,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000087,CAT00186,CUST00030,SITE00025,2024-09-30,2024-12-29,2024-12-29,1000.77,90069.3,3002.31,Returned,"153 Randy Ridge, Port Brandi, WV 18648","153 Randy Ridge, Port Brandi, WV 18648",90,90,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000088,CAT00063,CUST00006,SITE00021,2023-12-20,2023-12-27,2023-12-27,802.75,5619.25,2408.25,Returned,"918 Morgan Highway, New Christina, IL 96449","918 Morgan Highway, New Christina, IL 96449",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
RENT000089,CAT00198,CUST00001,SITE00011,2024-07-13,2024-07-20,2024-07-20,808.02,5656.14,2424.06,Returned,"14885 Myers Underpass Apt. 908, Port Sharontown, GA 13960","14885 Myers Underpass Apt. 908, Port Sharontown, GA 13960",7,7,0,0.0,0.0,2025-08-28 16:57:14,2025-08-28 16:57:14
